DATE,PALLFNFINDEXQ
1992-01-01,50.2582826560951
1992-04-01,51.7236187236037
1992-07-01,52.1372195261928
1992-10-01,50.557026409317
1993-01-01,50.0345261896932
1993-04-01,50.992395582626
1993-07-01,49.5954794103722
1993-10-01,48.5806490237316
1994-01-01,49.703681195374
1994-04-01,51.5921283234544
1994-07-01,53.2480131724759
1994-10-01,53.8905993175011
1995-01-01,55.7015558335786
1995-04-01,56.0200160368644
1995-07-01,54.9786791853909
1995-10-01,56.4904241577914
1996-01-01,59.2915802721066
1996-04-01,59.7632061408591
1996-07-01,58.7948601669208
1996-10-01,60.5094176426839
1997-01-01,59.3861140959185
1997-04-01,56.1372094734465
1997-07-01,54.6627186175068
1997-10-01,54.3043772532078
1998-01-01,49.5689809063497
1998-04-01,49.0476578626364
1998-07-01,45.8948512415308
1998-10-01,44.6360105384652
1999-01-01,42.9874233483537
1999-04-01,46.0940262946413
1999-07-01,49.6318893681782
1999-10-01,53.3223393339147
2000-01-01,57.4103934741419
2000-04-01,59.0573894661707
2000-07-01,61.4531550018146
2000-10-01,63.6806809258104
2001-01-01,61.3802973500083
2001-04-01,59.2981285795839
2001-07-01,55.2913541894439
2001-10-01,48.8364076401114
2002-01-01,50.6907332066023
2002-04-01,55.4175142801573
2002-07-01,57.3388521679923
2002-10-01,59.7454153234243
2003-01-01,67.1209550923896
2003-04-01,63.0197276763417
2003-07-01,64.0323537107447
2003-10-01,68.3168402467644
2004-01-01,73.8683777870606
2004-04-01,78.2072058853229
2004-07-01,80.3909091080749
2004-10-01,84.0948117278446
2005-01-01,89.1515596854815
2005-04-01,93.7846842396797
2005-07-01,103.110667946288
2005-10-01,104.843894148223
2006-01-01,106.898859083892
2006-04-01,117.50525964394
2006-07-01,118.909458741835
2006-10-01,113.212267890386
2007-01-01,115.707399476985
2007-04-01,126.710641431362
2007-07-01,128.899326688406
2007-10-01,144.829876989611
2008-01-01,162.250749157005
2008-04-01,189.041004582718
2008-07-01,183.411759044888
2008-10-01,117.739615705551
2009-01-01,102.929902678407
2009-04-01,112.487932218792
2009-07-01,120.218694266645
2009-10-01,131.719564563398
2010-01-01,140.239827030683
2010-04-01,143.331910274867
2010-07-01,141.839595043982
2010-10-01,159.129970002812
2011-01-01,179.202115013386
2011-04-01,189.461551279891
2011-07-01,184.962422904616
2011-10-01,176.149598628359
2012-01-01,182.608950354101
2012-04-01,173.273438216017
2012-07-01,170.940501866405
2012-10-01,170.747639747919
2013-01-01,174.178728777872
2013-04-01,166.696091109153
2013-07-01,168.13435298735
2013-10-01,165.997477000121
2014-01-01,169.148678509163
2014-04-01,169.595786231985
2014-07-01,160.392180186277
2014-10-01,137.45569172838
2015-01-01,115.283176084002
2015-04-01,116.603229083569
2015-07-01,104.850497675012
2015-10-01,96.4654235956422
2016-01-01,88.6939893391662
2016-04-01,100.20485521289
2016-07-01,103.139181755422
2016-10-01,107.961973692521
2017-01-01,114.330108854001
2017-04-01,108.370670020158
2017-07-01,111.404838220004
2017-10-01,119.772121118267
2018-01-01,127.6144902758
2018-04-01,131.178538829729
2018-07-01,130.203203324983
2018-10-01,123.760750446067
2019-01-01,118.673008966757
2019-04-01,119.782737219712
2019-07-01,115.184569669801
2019-10-01,116.612338990474
2020-01-01,108.11109321799
2020-04-01,91.6756194738874
2020-07-01,106.653293019618
2020-10-01,117.020779173457
2021-01-01,139.761132872957
2021-04-01,154.115091342822
2021-07-01,167.55373586971
